IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
AIR_41,Ambient air pollution attributable deaths,numeric,AFR,Africa,Country,COM,Comoros,Year,2018,False,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,Ischaemic heart disease,GHECAUSE_GHE001130,,,,,,,61.92,,,32.38,,88.42,62 [32-88],,,EN,2024-10-02T16:00:00.000Z
AIR_41,Ambient air pollution attributable deaths,numeric,EUR,Europe,Country,TJK,Tajikistan,Year,2018,False,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,"Trachea, bronchus, lung cancers",GHECAUSE_GHE000680,,,,,,,61.66,,,35.48,,91.65,62 [35-92],,,EN,2024-10-02T16:00:00.000Z
AIR_41,Ambient air pollution attributable deaths,numeric,AFR,Africa,Country,CMR,Cameroon,Year,2018,False,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,"Trachea, bronchus, lung cancers",GHECAUSE_GHE000680,,,,,,,61.67,,,35.71,,92.55,62 [36-93],,,EN,2024-10-02T16:00:00.000Z
AIR_41,Ambient air pollution attributable deaths,numeric,EUR,Europe,Country,BEL,Belgium,Year,2018,False,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,Chronic obstructive pulmonary disease,GHECAUSE_GHE001180,,,,,,,620.4,,,149.5,,1454.0,620 [150-1454],,,EN,2024-10-02T16:00:00.000Z
AIR_41,Ambient air pollution attributable deaths,numeric,AMR,Americas,Country,ECU,Ecuador,Year,2018,False,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,Stroke,GHECAUSE_GHE001140,,,,,,,621.6,,,285.6,,1003.0,622 [286-1003],,,EN,2024-10-02T16:00:00.000Z
AIR_41,Ambient air pollution attributable deaths,numeric,EMR,Eastern Mediterranean,Country,MAR,Morocco,Year,2018,False,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,Chronic obstructive pulmonary disease,GHECAUSE_GHE001180,,,,,,,624.4,,,140.0,,1438.0,624 [140-1438],,,EN,2024-10-02T16:00:00.000Z
AIR_41,Ambient air pollution attributable deaths,numeric,EUR,Europe,Country,SRB,Serbia,Year,2018,False,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,Chronic obstructive pulmonary disease,GHECAUSE_GHE001180,,,,,,,628.0,,,216.3,,1211.0,628 [216-1211],,,EN,2024-10-02T16:00:00.000Z
AIR_41,Ambient air pollution attributable deaths,numeric,EMR,Eastern Mediterranean,Country,OMN,Oman,Year,2018,False,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,Chronic obstructive pulmonary disease,GHECAUSE_GHE001180,,,,,,,62.94,,,20.2,,119.2,63 [20-119],,,EN,2024-10-02T16:00:00.000Z
AIR_41,Ambient air pollution attributable deaths,numeric,EUR,Europe,Country,UKR,Ukraine,Year,2018,False,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,All causes,GHECAUSE_GHE000000,,,,,,,63054.0,,,38639.0,,83887.0,63 054 [38 639-83 887],,,EN,2024-10-02T16:00:00.000Z
AIR_41,Ambient air pollution attributable deaths,numeric,WPR,Western Pacific,Country,JPN,Japan,Year,2018,False,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,All causes,GHECAUSE_GHE000000,,,,,,,63103.0,,,44470.0,,84042.0,63 103 [44 470-84 042],,,EN,2024-10-02T16:00:00.000Z
